Timestamp,Temperature ,PrecipitationTotal,WindSpeed ,WindDirection
2020-08-27T04:00:00,57.664734,0,6.5903726,75.96376
2020-08-27T05:00:00,57.394737,0,7.1730394,68.19859
2020-08-27T06:00:00,56.980736,0,7.9831147,64.29004
2020-08-27T07:00:00,57.286736,0,11.15386,49.843994
2020-08-27T08:00:00,60.400738,0,13.693063,52.907158
2020-08-27T09:00:00,62.812737,0,15.081628,54.344658
2020-08-27T10:00:00,64.414734,0,15.894952,50.440323
2020-08-27T11:00:00,68.46474,0,17.544012,41.92253
2020-08-27T12:00:00,69.940735,0,18.921904,35.256348
2020-08-27T13:00:00,70.40874,0,20.137444,27.582016
2020-08-27T14:00:00,69.454735,0,21.373516,22.729721
2020-08-27T15:00:00,67.51074,0,21.99535,16.898636
2020-08-27T16:00:00,65.76474,0,20.935719,14.743561
2020-08-27T17:00:00,65.09874,0,18.132818,10.154266
2020-08-27T18:00:00,65.134735,0,15.194143,2.009552
2020-08-27T19:00:00,64.59474,0,13.097022,355.33313
2020-08-27T20:00:00,62.200737,0,8.855546,353.08878
2020-08-27T21:00:00,58.456738,0,5.3876066,351.46924
2020-08-27T22:00:00,57.32274,0,3.700947,329.7436
2020-08-27T23:00:00,56.206738,0,4.13564,284.93143
